content,tf
"""Spraying chlorine or alcohol on the skin kills viruses in the body""",Fake
"""Only older adults and young people are at risk""",Fake
"""Children cannot get COVID-19""",Fake
"""COVID-19 is just like the flu""",Fake
"""Everyone with COVID-19 dies""",Fake
"""Cats and dogs spread coronavirus""",Fake
"""Face masks always protect against coronavirus""",Fake
"""Hand dryers kill coronavirus""",Fake
"""SARS-CoV-2 is just a mutated form of the common cold""",Fake
"""You have to be with someone for 10 minutes to catch the virus""",Fake
"""Rinsing the nose with saline protects against coronavirus""",Fake
"""You can protect yourself by gargling bleach""",Fake
"""Antibiotics kill coronavirus""",Fake
"""Thermal scanners can diagnose coronavirus""",Fake
"""Garlic protects against coronaviruses""",Fake
"""Parcels from China can spread coronavirus""",Fake
"""Home remedies can cure and protect against COVID-19""",Fake
"""You can catch coronavirus from eating Chinese food in the US""",Fake
"""You can catch coronavirus from urine and feces""",Fake
"""The virus will die off when temperatures rise in the spring""",Fake
"""Coronavirus is the deadliest virus known to humans""",Fake
"""Flu and pneumonia vaccines can protect against COVID-19""",Fake
"""The virus originated in a laboratory in China""",Fake
"""The outbreak began because people ate bat soup""",Fake
"""5G helps SARS-CoV-2 spread""",Fake
"""Drinking alcohol reduces the risk of infection""",Fake
"""Injecting or consuming bleach or disinfectant kills the virus""",Fake
